IDW - 4,,
Early,Late,Final
38.72040882,37.23653175,41.7640571
15.02026088,16.53102686,31.44616103
60.66031326,50.05650691,48.71842668
40.88813158,40.70307879,36.99961565
20.38921506,16.70900336,17.34020779
17.13498017,18.48044501,15.8998185
24.45299354,24.59364574,27.16141203
24.97389267,24.78995503,30.30640349
37.53009291,34.91168739,31.59436359
59.83486658,54.52322712,48.53595662
49.4748248,49.73488044,42.43628434
40.68493706,38.34684113,40.24479124
21.155403,18.15146502,18.64885415
28.94465111,26.46008754,26.83868155
37.3352187,34.88422044,33.1609615
17.44438339,18.10250378,12.90160177
56.46264122,46.13520512,39.57297178
28.8342895,32.26696291,42.94171634
24.28629611,30.90054208,27.81675485
54.07386604,47.36230759,33.78029508
21.31992231,23.10638114,34.57914497
14.89069955,11.80734242,24.62372231
25.82519775,23.73662806,36.30833295
62.22165893,65.38073761,47.74173875
51.36555417,54.45951175,34.88254114
54.85482152,52.57326761,37.88295519
82.16357259,85.34100924,56.83398453
47.97973695,45.40731255,36.37942175
58.04896645,59.60531573,36.18350352
21.78882852,22.26169002,22.98155929
26.09294526,27.50993053,21.27110266
20.868579,16.01242423,12.7785171
41.47904815,42.08100546,36.74404542
59.37367918,45.9604332,48.77931866
73.01860282,61.75491048,34.57410406
37.26943728,36.45473615,39.79794164
54.01721284,56.41389831,42.60818372
25.80622286,26.57695159,42.10494734
38.40707559,50.12524047,46.61899578
51.86296224,57.74729816,66.19799752
38.46539061,43.04446378,35.89897328
39.71539937,34.95421274,35.35360881
38.78945152,34.86412732,39.39282871
44.41549814,38.84620194,35.80173619
31.85418413,32.56171648,31.59508073
50.45076674,51.95967369,41.26235883
62.83638017,53.29779565,66.66583237
45.61116225,40.16258172,33.49677434
71.99077334,57.64064569,30.78779754
70.25878111,55.43685161,47.98400925
57.92736609,39.82487717,24.78114222
64.02869308,48.61786612,33.65030408
53.72881711,54.42515871,50.06650205
59.62360148,49.39755315,31.49302396
55.33670135,46.12509147,28.73035165
72.63586243,58.20714596,38.61875008
86.59086378,68.66241647,23.24371023
70.87492754,64.96550718,57.68956845
57.72947052,52.38230897,33.39363802
93.44912697,91.50315394,84.04600299
42.43085112,40.85858482,26.77642734
51.08338785,50.09337212,50.57542476
38.15311174,34.2928096,28.18541632
101.18210912,97.69628662,101.70527964
63.03376245,60.94048965,58.16516457
31.9385757,30.16586771,36.55972031
194.83888778,187.65464992,192.7055467
48.50780349,46.92357534,44.72636099
63.5542107,63.6951016,49.76821016
64.90661556,76.02449455,53.44560362
47.58255196,51.32092513,52.25982953
23.340896,18.18541855,29.13234378
19.25144926,19.05403513,23.81689545
25.36879752,17.66966451,18.23386626
32.02042954,28.25591161,21.59816702
26.00580566,20.57982513,17.53239472
18.90744944,18.42974999,21.79429049

IDW - 3,,
Early,Late,Final
43.8507999,50.68984185,24.0803499
49.10526428,45.18245958,26.34681027
37.16217931,30.02147976,19.68029956
32.74588919,31.98781195,14.80821399
52.84236935,49.79344866,37.50641021
42.28877546,38.42097981,24.7230329
35.40955497,31.75544512,23.74329574
44.94202342,39.93477634,34.61280894
45.1443565,49.71006421,35.20033036
46.16645902,43.86125058,24.573045
27.38946334,27.20937792,32.12912111
42.4225127,40.41291439,24.20639361
33.46964836,28.48799426,16.86725555
43.57236933,40.8249025,23.8887897
46.77959233,43.37876871,41.84505257
63.17553695,47.33554224,32.45660738
39.23473439,28.39419242,17.65417486
57.72517766,56.91476891,53.16609097
38.75155911,35.84812416,30.01719352
68.79980503,56.8234813,48.9626905
31.66096557,35.95930768,16.81019776
52.73408282,41.04087429,34.00298094
65.2294077,61.05421318,21.86684073
121.07363348,97.54552834,30.50938084
47.32235258,49.61893653,43.734078
49.10220532,44.58582474,30.36969733
63.89684859,80.34492661,29.3489803
57.95510793,46.55893147,28.78228415
49.24041223,56.46407743,45.72937189
34.76437208,32.26622434,38.68613929
31.66643044,38.66658588,28.67804208
38.32233699,30.82081666,28.03761558
61.10779336,63.30837143,57.96144867
42.2940903,42.80566338,28.12500423
33.39830912,29.25537268,29.62404682
48.534285,40.65027458,22.80479242
46.65564677,40.40203086,43.82387531
52.5778203,47.10787888,29.84752677
34.06194697,37.56547654,31.1273678
18.05445189,28.46526031,18.59565176
39.57283489,43.38711713,40.06427835
19.64628236,17.05828584,14.82965326
49.77538821,49.99459367,30.21113578
103.0894834,92.82520302,26.59893074
43.83450804,50.39945246,41.90464558
36.55597945,44.52966695,33.11171143
93.58796833,86.14304508,32.45725598
53.63562898,52.57057602,50.80479093
19.44294688,16.53332907,13.42078822
34.02674876,34.81495975,26.35993227
26.05585491,32.15593344,28.47928689
28.55892312,32.1503126,16.28754023
29.48234795,31.2423686,27.63458327
33.96854621,34.79168879,32.64276729
30.8037957,27.10731007,26.69070862
18.82014631,20.78352726,21.8344896
43.27578146,37.04297676,32.71029988
32.39800928,40.61689533,36.47403633
27.04428797,25.75812649,16.08550449
48.09195816,58.14023084,48.00193959
32.78665095,37.77473749,36.67554408
60.40185177,59.71123556,32.69824045
69.66655256,61.92499553,40.09702333
34.61041057,35.77745973,17.73703841
20.28129962,18.86956967,20.10251708
17.76900424,15.51690451,15.61899445
57.77080529,52.29780801,23.80926527
82.94745049,72.56249494,28.78557583
33.36523417,33.52093996,21.45525419
32.082766,25.28420873,26.65958598
21.92485452,23.45020715,19.85803851
60.43547995,56.84949533,25.78684799
70.45746131,64.39005352,26.70454697
82.43083365,74.62838309,15.02634873
27.12205826,34.50777717,26.03031184
80.01722081,72.65650862,25.91658631
81.23790939,80.12650886,24.25516846
96.26025403,83.03946174,26.49966496
98.30490547,79.87332634,25.62784697
83.03768744,62.55045543,23.76837168
20.47465881,22.59860732,18.16247227
60.27906933,51.60836046,35.24497493
59.45966374,58.94660573,33.29827153
90.34096122,68.17711801,23.44675774
49.10920193,53.20799845,18.57698075
51.77717345,59.0222608,21.08127889
53.79221461,48.66046054,21.90986607
98.7176131,90.34196542,27.66785483
61.94139107,80.80219118,29.98481486
30.11989079,37.83986525,23.58662364
60.33537425,68.95800148,28.09141272
50.47496462,69.76558197,21.65649872
26.71984654,36.36188017,15.67477398
19.78282473,30.78120399,15.47784121
44.01830113,47.90905931,32.86197864
11.08338657,12.20001086,12.00754091
12.22348905,18.68187813,12.43195536
9.7842369,10.73009531,9.67135341
23.64615488,28.04313208,12.9534714
16.20382001,25.5969495,9.20144577
33.63887702,44.44263517,8.56453784
28.7133341,31.80773932,6.92772266
17.8820659,17.15864831,24.69935989
31.89773765,42.43916272,20.15839709
18.98583534,20.70453104,7.78233334
48.16347191,57.52388792,42.75988689
100.61514015,82.77159596,21.50330483
16.41759744,14.56080216,22.12210151
32.13380108,46.87160379,20.96350259
37.89452579,39.46705995,27.08145042
83.7189061,78.14673254,27.28731207
52.43642642,48.3671498,18.78141672
37.03330806,42.73643553,23.81479953
46.6050616,55.00355083,34.10360452
52.26374965,39.60932896,21.99218742
56.21433633,39.75848593,32.26415856
71.5399397,59.42712543,30.25027559
66.77393496,68.32925269,43.82369476
22.52576185,31.5152874,19.36506586
53.68596054,40.73503625,34.48220209
69.65831829,60.83595178,32.77404737
95.33694245,92.75624309,30.53493324
47.17960665,50.28930724,28.72626706
16.61213232,19.70675655,23.11902059
44.71949633,39.25357425,33.35386526
42.33864101,46.76889058,28.55334317
36.11818559,42.52311985,33.72790646
72.69360948,60.55048253,19.21849189
17.36946769,18.84198882,11.63433664
30.34830551,32.59828902,39.29597804
76.90838522,87.68894203,22.83637671
80.37377358,67.44573214,29.35256632
53.01182386,44.7903433,35.32938487
22.34755282,23.32408186,32.85341246
81.28493917,71.28657997,25.48073252
31.93768583,35.59336956,34.5685819
90.2396962,79.04057351,34.74526833
69.1652453,65.48598226,27.04776164
89.59200263,95.85471539,27.61950913
61.11547399,42.82412365,35.8452938
28.45280311,25.65692841,29.63572875
17.67122523,29.24666719,11.42483159
59.82329342,50.63292052,49.01328234
84.04274044,67.77324134,23.33203971
22.31913138,26.30680145,31.87915865
88.62218716,79.45867558,24.888207
52.85705657,55.17450774,40.61313383
15.28397439,12.19869659,10.68636918
26.70401334,32.52025864,25.61313069
31.93487683,34.73097595,22.05624353
26.17651066,25.40672573,14.12477763
36.0582668,37.34249764,35.04946083
34.56229256,47.95366959,17.94839283
39.23169818,62.01538676,30.53474372
31.69267599,36.65283986,13.13682795
22.26001256,26.01790524,18.83672496
25.0726552,27.70788702,21.31177597
31.9580002,33.53541468,16.32112917
43.73102123,47.4180089,45.68117086
32.1171531,32.13773474,30.69798895
35.6392502,37.83112645,25.87517891
39.06811149,41.77866715,51.02400992
49.92060104,57.91376788,49.7316457
45.99402905,45.38332947,53.4753685
42.66864125,38.50750659,36.41057954
53.90257156,44.94335462,42.28499434
61.08790756,59.918904,52.36388433
62.60974365,60.89756131,63.54896553
10.58326632,10.85693707,23.70350619
36.88111796,35.69469368,39.43807635
14.90859439,16.39710525,30.87653513
54.349421,45.37344198,44.94443171
40.8940835,40.71005208,37.00716182
20.29185419,16.76832657,17.57721292
16.99552439,18.3076538,15.59555346
23.65289696,23.61101899,26.25299704
24.81911327,24.99347427,28.72922506
37.59743232,35.01983641,30.6733394
62.10721791,57.24696813,51.10230529
49.32827038,49.52921922,41.9450272
41.47107211,39.13783609,40.19518956
21.8987787,19.1875852,19.0479749
29.62181601,26.90572905,26.43250211
37.8583206,35.78857217,33.74760079
17.41004058,17.55501766,13.52471341
51.66430587,43.86015482,38.30472455
27.92111417,31.27598121,41.01301303
22.80948995,29.13703025,26.71038466
48.73037681,42.77783345,31.11862447
19.77997256,21.42685992,32.1466608
13.86362248,11.02374997,22.55852387
24.94785706,22.80916704,34.92344254
58.41028501,61.73664945,45.42977673
48.752775,50.81665185,33.12392007
48.92575543,47.00140786,35.87892772
80.77700584,83.75160245,56.03170718
47.25997102,44.68124507,35.56097597
57.03214709,58.61906111,36.00372576
21.66975917,21.69196624,22.774472
25.2410877,26.47128823,22.02837953
19.88497022,15.49845618,12.31640582
41.23679997,41.84709171,36.67153964
58.50155921,45.316243,49.55995775
69.50538548,58.62533172,35.00915282
34.81369771,34.11353402,40.33874673
51.76853843,54.97605721,42.64549982
25.13326902,26.43898033,43.6443478
37.77550441,48.8703027,47.3853949
50.6922647,56.87779733,67.27395864
38.40819592,42.96333003,35.89618452
38.60592823,33.87871545,35.64794682
38.13756767,34.24494102,40.1117498
43.10287405,38.09804556,37.59186335
31.80935938,32.19951599,31.90539677
49.13726132,50.24342614,41.5045197
62.84468577,53.59533094,67.22359659
43.89306794,37.50975933,35.25488328
69.72585347,55.35314209,30.11926268
69.28382735,55.36545731,48.10058756
55.91894314,38.34833364,25.14253128
61.08858192,45.31921522,33.47578107
51.57167597,50.34229164,49.77752721
55.37947806,44.84372399,31.32558864
51.91685409,41.21569579,29.7072022
71.39215387,57.04089342,38.3389108
85.12210486,66.94167718,22.48660849
69.35407484,63.92626513,58.50355437
55.51265829,50.4536738,33.45590239
97.36455507,95.74231147,89.50470869
42.86950469,41.45938106,27.22369103
49.35319831,48.00583741,51.2188099
36.53971413,31.40480658,29.22241312
104.2426411,101.68802399,104.19846472
67.51608137,65.59518901,62.71331158
32.41845899,30.97283269,34.31589188
196.82401097,191.97586791,196.01433652
50.4638271,47.3224557,47.38802663
59.78698912,60.47444327,48.16857262
61.70183489,69.22363885,53.94400077
49.80243633,51.32693518,56.05697513
22.43326908,16.43908101,25.52599673
19.13726844,18.92228489,23.64244414
25.23481063,17.61107239,16.49545081
30.33848725,25.83743531,20.8070057
24.97966974,18.19528986,15.68111097
18.82351238,18.30100959,21.5922272

IDW - 2,,
Early,Late,Final
21.89573881,20.93744234,19.82575717
24.92827007,21.38369557,16.25769979
20.17710213,19.53492573,20.13429366
15.95721194,16.7541974,23.93948231
31.63401697,29.82174586,27.15801944
28.57442313,26.92229375,29.17962824
25.97908117,25.83258819,31.14318826
35.13551666,37.27225482,38.49104857
21.26920007,22.92827333,22.28497371
23.52521701,21.46100412,19.62754894
35.69276406,37.14198258,47.19710809
22.06809249,17.88462757,18.53032977
16.52433078,14.24586768,15.75438496
25.63988086,22.54177138,20.50325782
47.58775051,47.35309103,52.99470934
37.99995612,31.37472342,43.52700883
23.84277351,23.54068637,31.71638977
58.8794109,59.49221567,76.12519753
37.87052704,39.2289668,45.26428063
58.51762809,48.91444947,47.65588022
16.42710274,17.52815638,12.14344221
42.35071788,37.53778841,42.69981203
32.89887784,30.62450049,30.13574903
70.81242519,55.95068407,38.31303234
43.73782077,42.33620067,40.97126838
54.03067138,53.9073822,51.4955146
33.4614447,41.73672539,24.81749371
35.0049801,26.01231394,30.75774882
46.46962133,50.11766379,62.0260321
44.84114876,43.29859383,50.39312525
34.02486742,33.98413269,32.87908082
62.5303687,59.58489267,54.44736362
67.69371115,67.21160636,75.86954334
36.85379518,39.03421483,47.98332093
40.99477749,41.64455879,51.52363044
32.05509162,28.97674876,39.24814205
48.91183068,51.79763021,68.45930218
41.37525971,41.4549799,46.24184853
40.69480335,44.44858053,40.12078327
9.46416633,13.95728277,11.11658252
41.39004896,43.00288115,52.22239759
19.65090849,18.42049057,14.0294094
42.47725638,41.16496005,37.68919288
50.67232987,43.00124535,33.78201489
44.92574204,46.22199389,51.2580423
39.51381369,41.82016515,30.11592462
57.78413142,51.90852772,32.53856553
67.81868467,68.04235065,61.65870596
16.3590664,14.83903649,14.58058098
35.00538268,35.85237892,34.96951855
34.88029111,40.1858413,39.59318529
20.71139355,20.61059333,14.77665229
35.78953346,35.7851885,36.29513108
38.6208414,41.40422822,46.23754989
34.62054302,36.25310777,37.28605572
19.49617444,19.60034866,22.17445274
27.93481608,27.28312006,39.01771142
40.92248174,45.85180899,47.63114158
21.92410973,22.12434406,22.51224326
44.45291206,48.80973187,51.02767307
35.05399187,39.63749121,41.56843931
31.27281358,32.10099797,25.09644991
41.6461466,42.09835054,53.13123764
34.31741344,35.41635848,17.54977578
23.07136386,21.82630475,26.46255638
18.70881292,17.52097473,21.57461049
37.52593839,33.52875689,40.83575878
37.10678199,27.75194287,44.3358015
29.54523114,28.5077371,36.05121153
33.53812259,33.89704235,39.98709217
27.46116375,28.32952888,26.59358745
33.87107429,29.73231072,31.82240655
38.14236969,33.69881478,40.41094909
43.04560321,37.60075176,26.65427967
20.07428384,21.66444367,17.21176936
51.47587815,43.7459211,30.09118374
48.11357432,44.06991007,28.95685889
52.87707986,42.60279297,32.60190272
53.68973934,42.82282789,32.86021425
40.42855017,26.54366671,37.34314712
26.74771965,27.87567056,25.15451028
38.02544887,34.22981496,50.00862401
44.06633443,42.28222435,38.01179486
51.27615774,36.48142383,30.53122703
30.6650753,26.19622694,40.25841646
25.47125081,25.60517402,25.49181637
31.95898752,25.11414363,34.41582823
54.07277282,47.79246353,28.40946716
34.64745798,42.52611067,25.83078241
21.21959722,25.64765224,16.3922836
34.73120969,38.27063747,33.49744404
29.91508921,41.36790151,19.09652121
19.75210029,23.40670229,14.64504399
11.53509159,15.55084962,8.72964398
46.63858223,45.55561054,38.74515742
10.61115067,10.10887609,7.9789839
8.62673289,10.63058698,7.87816563
6.94048637,7.09690829,6.82883487
15.42499071,15.58011073,10.86480375
10.8352514,12.59239176,8.70679361
19.50750045,25.61876075,8.89739641
14.04331885,16.3528406,6.3190817
15.47019573,14.82282124,11.87155291
27.48051257,35.45600948,17.17874512
12.880649,13.62502732,13.03448785
49.89649299,55.0213459,62.28604549
72.04176694,57.53376273,22.9629586
19.10730451,18.18873743,13.16388478
29.33367285,28.65462184,28.49644286
49.14363001,47.63246863,45.82585217
47.6948035,42.41722351,34.67584673
32.17035145,28.65435748,32.68521764
24.94339,24.32910886,26.90100028
46.36959569,45.82379088,39.47686755
30.53930553,24.63451092,32.69546348
32.96931598,27.66380685,42.455674
44.34816391,40.07316539,50.70596708
48.64840572,50.81474712,53.13546269
22.98284237,22.14939944,25.23165727
45.89418799,43.20718008,58.46354163
48.55322978,42.35897545,40.19143069
71.30679385,66.52559523,32.14959939
37.67236029,38.26796192,32.00923523
23.037024,25.06734043,29.32996005
33.24828317,36.78051464,50.06010575
34.2383399,36.02401388,41.46210785
34.85299174,38.81924092,43.41863799
43.26624477,35.8072431,18.36420602
13.54812837,13.77545424,14.75556326
29.05151266,28.57663258,25.95122223
41.42544612,43.57712203,17.25767693
42.53499653,34.15459617,40.97589652
40.20839538,39.33530691,48.73196878
17.10718322,16.8053201,15.11253648
40.55298826,33.74551086,39.95736095
39.4160941,40.73777696,35.99134237
56.21476882,46.22387069,43.68070998
39.58362874,36.63027045,29.33560842
48.79505884,49.0324704,36.99092028
43.36262909,38.15979357,52.1970758
28.01119627,30.79432574,44.3015494
12.80574207,11.38012815,14.13415958
35.02461848,29.3735688,30.61765687
46.28338356,35.75929285,28.65442608
32.39378573,35.61461146,37.84800024
46.24258543,38.59596283,29.28228456
59.41486314,54.79253644,61.59133907
11.5558774,10.7361615,12.17020606
23.66559178,27.38511052,37.44039849
20.17784191,20.28626443,22.61525733
17.54444059,17.12520396,15.68597033
42.41074379,42.07051271,40.49348247
28.07498549,26.86548793,27.67330668
24.1021193,27.97716914,21.80409092
21.67854119,20.91799995,23.13832226
25.60162112,25.71659928,23.15795357
28.25700422,29.22908559,27.50767248
28.96782313,30.80963727,14.99656446
49.64535118,49.5735826,49.41766521
38.9206918,39.13401469,37.174384
39.0842283,39.14764851,34.31612037
51.89464952,54.8910652,52.3764252
28.93717814,32.30542925,24.77789647
25.7140328,25.68461231,29.31834929
